source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
rotation_restored,Restoration,rotation_restored.png,sharpened_lanczos,138.9962,11.7897,6.4095,26.7008,0.986768,97.49
salt_and_pepper,Distortions,salt_and_pepper.png,nearest,1033.6879,32.1510,14.4041,17.9869,0.895458,94.35
salt_and_pepper,Distortions,salt_and_pepper.png,bilinear,1031.0775,32.1104,13.9857,17.9979,0.891302,94.52
salt_and_pepper,Distortions,salt_and_pepper.png,bicubic,935.3956,30.5842,12.7061,18.4209,0.903975,95.02
salt_and_pepper,Distortions,salt_and_pepper.png,lanczos,902.8881,30.0481,12.3371,18.5745,0.908109,95.16
salt_and_pepper,Distortions,salt_and_pepper.png,sharpened_lanczos,936.5870,30.6037,15.0658,18.4153,0.913129,94.09
salt_and_pepper_restored,Restoration,salt_and_pepper_restored.png,nearest,169.6124,13.0235,5.8077,25.8362,0.981420,97.72
salt_and_pepper_restored,Restoration,salt_and_pepper_restored.png,bilinear,112.5543,10.6092,5.0965,27.6172,0.987275,98.00
salt_and_pepper_restored,Restoration,salt_and_pepper_restored.png,bicubic,65.0733,8.0668,3.7459,29.9968,0.992813,98.53
salt_and_pepper_restored,Restoration,salt_and_pepper_restored.png,lanczos,47.1880,6.8694,3.2234,31.3925,0.994827,98.74
salt_and_pepper_restored,Restoration,salt_and_pepper_restored.png,sharpened_lanczos,110.7883,10.5256,5.6622,27.6859,0.988779,97.78
