source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
rotation,Distortions vs Original,rotation.png,bilinear,3608.4553,60.0704,34.4236,12.5576,0.606055,86.50
rotation,Distortions vs Original,rotation.png,bicubic,3835.6038,61.9323,35.3017,12.2925,0.592551,86.16
rotation,Distortions vs Original,rotation.png,lanczos,3915.6904,62.5755,35.6167,12.2027,0.587830,86.03
rotation,Distortions vs Original,rotation.png,sharpened_lanczos,4783.7642,69.1648,39.3168,11.3331,0.541357,84.58
rotation_restored,Restoration vs Original,rotation_restored.png,nearest,223.9990,14.9666,7.3198,24.6283,0.976536,97.13
rotation_restored,Restoration vs Original,rotation_restored.png,bilinear,147.8954,12.1612,6.0442,26.4313,0.983873,97.63
rotation_restored,Restoration vs Original,rotation_restored.png,bicubic,88.3866,9.4014,4.6625,28.6669,0.990622,98.17
rotation_restored,Restoration vs Original,rotation_restored.png,lanczos,64.6592,8.0411,4.0280,30.0245,0.993205,98.42
rotation_restored,Restoration vs Original,rotation_restored.png,sharpened_lanczos,173.8463,13.1851,7.3763,25.7291,0.983406,97.11
salt_and_pepper,Distortions vs Original,salt_and_pepper.png,nearest,408.6971,20.2163,11.4336,22.0168,0.955246,95.52
salt_and_pepper,Distortions vs Original,salt_and_pepper.png,bilinear,285.4232,16.8945,10.4038,23.5759,0.967163,95.92
salt_and_pepper,Distortions vs Original,salt_and_pepper.png,bicubic,252.2808,15.8833,9.4257,24.1120,0.971681,96.30
salt_and_pepper,Distortions vs Original,salt_and_pepper.png,lanczos,244.1036,15.6238,9.1749,24.2551,0.972772,96.40
salt_and_pepper,Distortions vs Original,salt_and_pepper.png,sharpened_lanczos,536.5887,23.1644,13.2435,20.8344,0.945741,94.81
salt_and_pepper_restored,Restoration vs Original,salt_and_pepper_restored.png,nearest,249.3695,15.7914,7.6088,24.1624,0.973281,97.02
salt_and_pepper_restored,Restoration vs Original,salt_and_pepper_restored.png,bilinear,217.0715,14.7333,7.3221,24.7648,0.976024,97.13
salt_and_pepper_restored,Restoration vs Original,salt_and_pepper_restored.png,bicubic,146.2240,12.0923,5.9054,26.4806,0.984205,97.68
salt_and_pepper_restored,Restoration vs Original,salt_and_pepper_restored.png,lanczos,117.1487,10.8235,5.2511,27.4434,0.987438,97.94
salt_and_pepper_restored,Restoration vs Original,salt_and_pepper_restored.png,sharpened_lanczos,101.7679,10.0880,5.4301,28.0547,0.989943,97.87
